iter	Passed	Remaining
0	0	705
1	1	657
2	1	638
3	2	634
4	3	633
5	3	631
6	4	632
7	5	629
8	5	631
9	6	670
10	7	702
11	8	697
12	9	690
13	10	705
14	10	701
15	11	697
16	11	692
17	12	692
18	13	686
19	13	681
20	14	675
21	15	667
22	15	664
23	16	659
24	16	657
25	17	660
26	18	660
27	18	657
28	19	655
29	20	653
30	20	652
31	23	701
32	23	701
33	24	702
34	25	700
35	26	698
36	26	698
37	27	696
38	28	693
39	28	690
40	29	686
41	29	684
42	30	682
43	31	680
44	31	676
45	32	672
46	33	669
47	33	667
48	34	665
49	34	663
50	35	661
51	36	668
52	37	677
53	38	675
54	39	673
55	39	671
56	40	670
57	41	669
58	41	667
59	42	665
60	43	662
61	43	661
62	44	664
63	45	662
64	45	660
65	46	658
66	47	655
67	47	653
68	48	651
69	48	649
70	49	647
71	50	645
72	50	643
73	51	649
74	54	669
75	55	679
76	56	679
77	57	677
78	57	675
79	58	676
80	59	675
81	60	672
82	60	667
83	60	664
84	61	662
85	62	660
86	62	658
87	63	655
88	63	653
89	64	650
90	64	648
91	65	646
92	66	649
93	67	653
94	68	652
95	69	652
96	70	653
97	70	650
98	71	648
99	71	646
100	72	644
101	73	643
102	73	641
103	74	642
104	75	642
105	75	640
106	76	638
107	77	636
108	77	633
109	78	631
110	78	629
111	79	626
112	79	625
113	80	622
114	81	630
115	84	647
116	85	645
117	86	644
118	86	643
119	87	641
120	88	640
121	88	637
122	89	635
123	89	633
124	90	632
125	91	631
126	91	628
127	91	626
128	92	624
129	92	622
130	93	619
131	93	617
132	94	615
133	94	613
134	95	611
135	96	611
136	98	618
137	99	619
138	99	617
139	100	615
140	100	614
141	101	611
142	101	610
143	102	609
144	103	607
145	103	605
146	104	604
147	104	602
148	105	600
149	105	598
150	106	596
151	106	594
152	107	593
153	107	591
154	108	589
155	108	587
156	109	585
157	109	583
158	110	583
159	111	583
160	111	582
161	112	581
162	113	582
163	114	582
164	114	581
165	115	580
166	116	579
167	116	577
168	117	576
169	117	575
170	118	574
171	118	572
172	119	571
173	119	569
174	120	567
175	120	565
176	121	564
177	121	562
178	122	560
179	122	559
180	123	557
181	123	555
182	124	554
183	124	552
184	126	556
185	127	558
186	128	559
187	129	558
188	129	557
189	130	555
190	130	554
191	131	552
192	131	551
193	132	549
194	132	547
195	133	546
196	133	544
197	134	543
198	134	541
199	134	539
200	135	538
201	135	536
202	136	535
203	136	533
204	137	532
205	137	530
206	138	529
207	138	527
208	139	526
209	140	528
210	141	528
211	142	528
212	142	526
213	143	525
214	143	523
215	143	522
216	144	521
217	144	519
218	145	518
219	145	516
220	146	515
221	146	514
222	147	513
223	147	511
224	148	510
225	148	509
226	149	507
227	149	506
228	150	505
229	150	503
230	150	502
231	151	501
232	151	499
233	152	498
234	152	497
235	153	496
236	153	495
237	154	494
238	155	494
239	156	495
240	156	494
241	157	493
242	157	492
243	158	491
244	159	490
245	159	489
246	160	487
247	160	486
248	160	485
249	161	484
250	161	483
251	162	481
252	162	480
253	163	479
254	163	478
255	164	476
256	164	475
257	165	474
258	165	473
259	165	472
260	166	471
261	166	470
262	167	468
263	167	468
264	168	467
265	168	466
266	169	466
267	170	465
268	171	464
269	171	463
270	172	463
271	172	461
272	173	461
273	173	460
274	174	459
275	174	458
276	175	457
277	175	455
278	176	454
279	176	453
280	176	452
281	177	451
282	177	450
283	178	449
284	178	448
285	179	447
286	179	446
287	180	445
288	180	444
289	181	443
290	181	442
291	182	441
292	182	440
293	183	440
294	183	439
295	184	439
296	185	439
297	186	438
298	186	437
299	187	436
300	187	435
301	188	434
302	188	433
303	189	432
304	189	431
305	189	430
306	190	429
307	190	428
308	191	427
309	191	427
310	192	426
311	192	425
312	193	424
313	193	423
314	194	422
315	194	421
316	195	420
317	195	419
318	196	418
319	196	417
320	196	416
321	197	415
322	197	414
323	198	413
324	198	412
325	199	413
326	200	412
327	201	412
328	201	411
329	202	410
330	202	409
331	202	408
332	203	407
333	203	406
334	204	405
335	204	404
336	205	403
337	205	402
338	206	402
339	206	401
340	207	400
341	207	399
342	208	398
343	208	397
344	208	396
345	209	395
346	209	394
347	210	394
348	211	393
349	211	392
350	211	391
351	212	390
352	212	390
353	213	389
354	213	388
355	214	388
356	215	387
357	215	387
358	216	386
359	216	385
360	217	384
361	218	384
362	218	383
363	219	382
364	219	381
365	219	380
366	220	380
367	220	379
368	221	378
369	221	377
370	222	376
371	222	376
372	223	375
373	223	374
374	224	373
375	224	373
376	225	372
377	226	372
378	226	371
379	227	370
380	227	369
381	228	369
382	228	368
383	230	368
384	230	368
385	231	367
386	231	367
387	232	366
388	232	365
389	233	364
390	233	363
391	234	363
392	234	362
393	235	361
394	235	360
395	236	360
396	236	359
397	236	358
398	237	357
399	237	356
400	238	356
401	238	355
402	239	354
403	240	354
404	240	353
405	241	352
406	241	351
407	241	351
408	242	350
409	242	349
410	243	348
411	243	348
412	244	348
413	245	347
414	246	346
415	246	346
416	246	345
417	247	344
418	247	343
419	248	342
420	248	342
421	249	341
422	249	340
423	250	339
424	250	339
425	251	338
426	251	337
427	252	336
428	252	336
429	253	335
430	253	335
431	254	334
432	255	333
433	255	333
434	256	332
435	256	331
436	257	331
437	257	330
438	258	329
439	258	329
440	259	328
441	260	328
442	260	328
443	261	327
444	261	326
445	262	326
446	263	325
447	263	324
448	264	324
449	264	323
450	265	322
451	265	322
452	266	321
453	266	320
454	267	320
455	267	319
456	268	319
457	269	318
458	269	317
459	270	317
460	270	316
461	271	315
462	271	315
463	272	314
464	272	313
465	273	313
466	275	313
467	275	313
468	276	312
469	277	312
470	277	311
471	278	311
472	278	310
473	279	310
474	280	309
475	280	308
476	281	308
477	281	307
478	282	307
479	282	306
480	283	305
481	284	305
482	284	304
483	285	303
484	285	303
485	286	302
486	286	302
487	287	301
488	288	300
489	288	300
490	289	300
491	290	300
492	291	299
493	291	298
494	292	298
495	292	297
496	293	297
497	294	296
498	294	295
499	295	295
500	295	294
501	296	293
502	296	293
503	297	292
504	297	292
505	298	291
506	299	290
507	299	290
508	300	289
509	300	289
510	301	288
511	301	287
512	302	287
513	303	286
514	303	285
515	305	286
516	305	285
517	306	285
518	306	284
519	307	283
520	308	283
521	308	282
522	309	282
523	309	281
524	310	281
525	311	280
526	312	280
527	312	279
528	313	278
529	313	278
530	314	277
531	314	277
532	315	276
533	316	275
534	316	275
535	317	274
536	317	273
537	318	273
538	319	272
539	320	272
540	320	272
541	321	271
542	322	271
543	322	270
544	323	269
545	323	269
546	324	268
547	325	268
548	325	267
549	326	266
550	326	266
551	327	265
552	327	264
553	328	264
554	328	263
555	329	263
556	330	262
557	330	261
558	331	261
559	331	260
560	332	260
561	332	259
562	333	258
563	334	258
564	335	258
565	336	258
566	337	257
567	337	256
568	338	256
569	338	255
570	339	255
571	340	254
572	340	253
573	341	253
574	341	252
575	342	251
576	342	251
577	343	250
578	344	250
579	344	249
580	345	248
581	345	248
582	346	247
583	346	247
584	347	246
585	347	245
586	348	245
587	349	244
588	350	244
589	351	244
590	351	243
591	352	242
592	353	242
593	353	241
594	354	241
595	354	240
596	355	239
597	356	239
598	356	238
599	357	238
600	357	237
601	358	236
602	358	236
603	359	235
604	359	235
605	360	234
606	361	233
607	361	233
608	362	232
609	362	231
610	363	231
611	363	230
612	364	230
613	365	229
614	366	229
615	367	228
616	367	228
617	368	227
618	368	227
619	369	226
620	370	226
621	370	225
622	371	224
623	371	224
624	372	223
625	373	222
626	373	222
627	374	221
628	374	221
629	375	220
630	375	219
631	376	219
632	376	218
633	377	217
634	378	217
635	378	216
636	380	216
637	381	216
638	381	215
639	382	215
640	383	214
641	383	214
642	384	213
643	384	212
644	385	212
645	386	211
646	386	210
647	387	210
648	387	209
649	388	209
650	389	208
651	389	208
652	390	207
653	390	206
654	391	206
655	392	205
656	392	204
657	393	204
658	393	203
659	395	203
660	396	203
661	396	202
662	397	201
663	397	201
664	398	200
665	399	200
666	399	199
667	400	198
668	400	198
669	401	197
670	402	197
671	402	196
672	403	195
673	403	195
674	404	194
675	404	194
676	405	193
677	406	192
678	406	192
679	407	191
680	407	190
681	408	190
682	409	190
683	410	189
684	410	188
685	411	188
686	411	187
687	412	186
688	412	186
689	413	185
690	413	185
691	414	184
692	414	183
693	415	183
694	415	182
695	416	181
696	416	181
697	417	180
698	417	179
699	418	179
700	418	178
701	419	177
702	419	177
703	420	176
704	420	175
705	420	175
706	421	174
707	421	173
708	422	173
709	422	172
710	423	172
711	424	171
712	425	171
713	425	170
714	426	169
715	426	169
716	427	168
717	427	167
718	427	167
719	428	166
720	428	165
721	429	165
722	429	164
723	430	163
724	430	163
725	431	162
726	431	162
727	431	161
728	432	160
729	432	160
730	433	159
731	433	158
732	434	158
733	434	157
734	435	156
735	435	156
736	436	155
737	436	155
738	437	154
739	438	153
740	439	153
741	439	152
742	440	152
743	440	151
744	441	151
745	441	150
746	442	149
747	442	149
748	443	148
749	443	147
750	444	147
751	444	146
752	445	145
753	445	145
754	445	144
755	446	144
756	446	143
757	447	142
758	447	142
759	448	141
760	448	140
761	449	140
762	449	139
763	450	139
764	450	138
765	451	137
766	451	137
767	452	136
768	452	135
769	453	135
770	454	134
771	454	134
772	455	133
773	455	133
774	456	132
775	456	131
776	457	131
777	457	130
778	458	130
779	458	129
780	459	128
781	459	128
782	460	127
783	460	126
784	461	126
785	461	125
786	462	125
787	462	124
788	462	123
789	463	123
790	463	122
791	464	121
792	465	121
793	465	120
794	466	120
795	466	119
796	467	118
797	467	118
798	467	117
799	468	117
800	469	116
801	470	116
802	470	115
803	471	114
804	471	114
805	472	113
806	472	113
807	473	112
808	474	111
809	474	111
810	475	110
811	475	110
812	476	109
813	476	108
814	476	108
815	477	107
816	477	107
817	478	106
818	478	105
819	479	105
820	479	104
821	480	104
822	480	103
823	481	102
824	481	102
825	482	101
826	482	100
827	483	100
828	484	99
829	485	99
830	486	98
831	486	98
832	487	97
833	487	97
834	488	96
835	489	95
836	489	95
837	489	94
838	490	94
839	490	93
840	491	92
841	491	92
842	492	91
843	492	91
844	493	90
845	493	89
846	494	89
847	494	88
848	495	88
849	495	87
850	496	86
851	496	86
852	497	85
853	497	85
854	499	84
855	500	84
856	501	83
857	501	83
858	502	82
859	503	81
860	503	81
861	504	80
862	504	80
863	505	79
864	506	79
865	506	78
866	507	77
867	508	77
868	508	76
869	509	76
870	509	75
871	510	74
872	511	74
873	511	73
874	512	73
875	512	72
876	513	72
877	514	71
878	516	71
879	517	70
880	517	69
881	518	69
882	518	68
883	519	68
884	520	67
885	520	67
886	521	66
887	521	65
888	522	65
889	523	64
890	523	64
891	524	63
892	524	62
893	525	62
894	526	61
895	526	61
896	527	60
897	527	59
898	529	59
899	531	59
900	531	58
901	532	57
